sl,COMMON.NAME,freq,se
1,Ruddy Turnstone,-4.99298267,0.670213629
1,Great Knot,-10.81781052,256.841242
1,Ruff,-4.45889959,0.629213259
1,Broad-billed Sandpiper,-5.708783823,0.698513779
1,Curlew Sandpiper,-5.380735623,0.628971814
1,Temminck's Stint,-4.486439974,0.642122685
1,Sanderling,-5.913183773,0.678082453
1,Dunlin,-5.348030049,0.642246991
1,Little Stint,-4.293141544,0.693828465
1,Common Snipe,-5.558634447,0.736236934
1,Pin-tailed Snipe,-6.223556719,0.706179529
1,Terek Sandpiper,-5.675878515,0.662264713
1,Common Sandpiper,-2.997343117,0.634125365
1,Green Sandpiper,-3.70126593,0.629950822
1,Spotted Redshank,-4.877458342,0.683435927
1,Common Greenshank,-4.297969829,0.650774282
1,Marsh Sandpiper,-4.786301578,0.615483534
1,Wood Sandpiper,-3.740569916,0.645179813
1,Common Redshank,-4.20475711,0.680324937
1,Barred Buttonquail,-4.260913624,0.672916279
1,Indian Courser,-4.724267455,0.641116618
1,Oriental Pratincole,-5.116242135,0.648733054
1,Small Pratincole,-4.570618331,0.662278515
1,Slender-billed Gull,-6.001232468,0.635504174
1,Black-headed Gull,-5.41187497,0.662360111
1,Brown-headed Gull,-4.961502164,0.661492249
1,Pallas's Gull,-4.966334323,0.644419886
1,Lesser Black-backed Gull,-5.426638083,0.625390183
1,Little Tern,-4.585350434,0.675328112
1,Gull-billed Tern,-4.896464298,0.641368471
1,Caspian Tern,-4.734105785,0.638463763
1,Whiskered Tern,-4.562817913,0.632580216
1,Common Tern,-5.080604656,0.654130883
1,Black-bellied Tern,-4.757134077,0.668564691
1,River Tern,-3.358332059,0.668306825
1,Great Crested Tern,-4.967725729,0.663003443
1,Sandwich Tern,-7.680961659,0.674438158
1,Lesser Crested Tern,-4.886111591,0.690065886
1,Indian Skimmer,-4.873684391,0.687062744
1,Asian Openbill,-2.638221396,0.60912517
1,Black Stork,-4.70904611,0.718957911
1,Asian Woolly-necked Stork,-3.615595885,0.641472359
1,Black-necked Stork,-4.552216752,0.65417995
1,Lesser Adjutant,-4.216247793,0.64130122
1,Painted Stork,-3.102600852,0.646906696
1,Oriental Darter,-3.49897558,0.66072975
1,Little Cormorant,-1.657297526,0.640313566
1,Great Cormorant,-3.296151519,0.662919249
1,Indian Cormorant,-3.054495136,0.659364736
1,Great White Pelican,-4.342240784,0.643342423
1,Spot-billed Pelican,-4.770531218,0.637772386
1,Dalmatian Pelican,-4.059074744,0.650159324
1,Yellow Bittern,-4.630194718,0.656186614
1,Cinnamon Bittern,-4.397721581,0.714382453
1,Black Bittern,-4.514885126,0.686667163
1,Gray Heron,-2.822474486,0.658217091
1,Purple Heron,-3.110586554,0.635719033
1,Great Egret,-2.67208756,0.635854227
1,Intermediate Egret,-2.643996803,0.632884205
1,Little Egret,-1.997438427,0.62260913
1,Western Reef-Heron,-4.726384128,0.650036784
1,Cattle Egret,-1.368217286,0.629443257
1,Indian Pond-Heron,-1.385743459,0.630517626
1,Striated Heron,-4.260922302,0.63994645
1,Black-crowned Night-Heron,-3.493549145,0.641971555
1,Glossy Ibis,-3.483427288,0.646074652
1,Black-headed Ibis,-2.877864395,0.623118174
1,Red-naped Ibis,-2.679772264,0.663821516
1,Eurasian Spoonbill,-4.028107918,0.6423584
1,Osprey,-4.936645379,0.65795954
1,Black-winged Kite,-2.782018961,0.649737365
1,Bearded Vulture,-3.295521532,0.681851904
1,Egyptian Vulture,-3.804543016,0.635603823
1,Oriental Honey-buzzard,-3.542199834,0.637604637
1,Jerdon's Baza,-4.658698183,0.666324419
1,Black Baza,-5.4327188,0.681374015
1,Red-headed Vulture,-4.737564971,0.67785158
1,Cinereous Vulture,-4.401671946,0.689831956
1,White-rumped Vulture,-4.893441621,0.647058651
1,Indian Vulture,-4.799620829,0.699467596
1,Himalayan Griffon,-3.609976966,0.596122926
1,Eurasian Griffon,-4.997251487,0.821822619
1,Crested Serpent-Eagle,-3.607748372,0.653952564
1,Short-toed Snake-Eagle,-4.286574565,0.638029022
1,Changeable Hawk-Eagle,-4.651557936,0.632541118
1,Mountain Hawk-Eagle,-4.75059012,0.659053851
1,Rufous-bellied Eagle,-5.968495439,0.628287288
1,Black Eagle,-4.825616731,0.651536997
1,Indian Spotted Eagle,-5.288242779,0.652668962
1,Greater Spotted Eagle,-4.940174036,0.660187124
1,Booted Eagle,-4.404994537,0.635768523
1,Tawny Eagle,-4.749104316,0.59422275
1,Steppe Eagle,-5.440432193,0.880497373
1,Imperial Eagle,-4.72874247,0.660964209
1,Golden Eagle,-3.605590907,0.680749928
1,Bonelli's Eagle,-4.398057036,0.623369606
1,White-eyed Buzzard,-3.887300245,0.623771787
1,Eurasian Marsh-Harrier,-4.764011297,0.675118508
1,Hen Harrier,-5.201063129,0.620255427
1,Pallid Harrier,-5.268025508,0.704807109
1,Pied Harrier,-4.965999305,0.682003773
1,Montagu's Harrier,-4.714149762,0.606030445
1,Crested Goshawk,-4.796630633,0.642537828
1,Shikra,-2.218909375,0.634807059
1,Eurasian Sparrowhawk,-4.466183287,0.63087083
1,Black Kite,-2.072630606,0.673253529
1,Brahminy Kite,-3.184989105,0.688454661
1,Pallas's Fish-Eagle,-5.975760248,0.687124237
1,White-bellied Sea-Eagle,-4.021337258,0.705227476
1,Lesser Fish-Eagle,-6.841365565,0.666936955
1,Gray-headed Fish-Eagle,-5.499509928,0.6787818
1,Common Buzzard,-5.041355119,0.624453424
1,Long-legged Buzzard,-4.745014929,0.742837089
1,Brown Fish-Owl,-4.996509238,0.626975816
1,Asian Barred Owlet,-3.12596966,0.674472462
1,Jungle Owlet,-3.567239029,0.638673093
1,Collared Owlet,-4.377921014,0.668283983
1,Short-eared Owl,-5.354892431,0.647078118
1,Malabar Trogon,-5.083875507,0.63531371
1,Red-headed Trogon,-4.39772442,0.65604716
1,Eurasian Hoopoe,-2.900393071,0.667473764
1,Great Hornbill,-4.891282858,0.673283121
1,Indian Gray Hornbill,-2.538344799,0.628431705
1,Malabar Gray Hornbill,-4.628399271,0.688460193
1,Malabar Pied-Hornbill,-4.231564607,0.653810557
1,Oriental Pied-Hornbill,-3.9171293,0.636037411
1,Common Kingfisher,-2.752745667,0.623638342
1,Blue-eared Kingfisher,-5.02017458,0.666117514
1,Black-backed Dwarf-Kingfisher,-5.338527857,0.674116691
1,Stork-billed Kingfisher,-3.875553758,0.660536826
1,White-throated Kingfisher,-1.112115341,0.651846902
1,Black-capped Kingfisher,-5.178292227,0.688173092
1,Collared Kingfisher,-2.268618781,0.746972723
1,Crested Kingfisher,-4.289081849,0.67433274
1,Pied Kingfisher,-2.990181172,0.630349393
1,Blue-bearded Bee-eater,-4.751323357,0.680617922
1,Asian Green Bee-eater,-1.449821669,0.631073478
1,Blue-cheeked Bee-eater,-3.566416814,0.667289854
1,Blue-tailed Bee-eater,-3.027476312,0.659181558
1,Chestnut-headed Bee-eater,-3.851456111,0.662595255
1,European Roller,-3.894890722,0.668074162
1,Indian Roller,-2.24746075,0.644514563
1,Indochinese Roller,-3.304334452,0.671189117
1,Dollarbird,-4.532564914,0.684081282
1,Malabar Barbet,-5.086271926,0.66828011
1,Coppersmith Barbet,-2.318629954,0.639579542
1,Blue-eared Barbet,-3.774062118,0.650998815
1,Great Barbet,-2.699218416,0.648929327
1,Lineated Barbet,-2.994663809,0.634013936
1,Brown-headed Barbet,-2.950170156,0.656041475
1,White-cheeked Barbet,-2.714890031,0.663637232
1,Golden-throated Barbet,-3.680414271,0.6866036
1,Blue-throated Barbet,-2.261544275,0.648607261
1,Eurasian Wryneck,-4.406999615,0.65369979
1,Speckled Piculet,-5.049884427,0.628562251
1,Heart-spotted Woodpecker,-5.220485628,0.666059544
1,Brown-capped Pygmy Woodpecker,-4.175763977,0.666435347
1,Gray-capped Pygmy Woodpecker,-4.317696228,0.667501632
1,Yellow-crowned Woodpecker,-4.139500969,0.636780143
1,Brown-fronted Woodpecker,-3.66766269,0.636392686
1,Rufous-bellied Woodpecker,-4.715704383,0.689027867
1,Fulvous-breasted Woodpecker,-3.737109281,0.676871902
1,Himalayan Woodpecker,-2.898852558,0.664895997
1,Bay Woodpecker,-3.549147455,0.664393701
1,Greater Flameback,-4.158722019,0.64262507
1,White-naped Woodpecker,-4.33653516,0.65281287
1,Rufous Woodpecker,-4.303624223,0.65834194
1,Black-rumped Flameback,-2.776681494,0.633809076
1,Lesser Yellownape,-4.746181743,0.676685268
1,Streak-throated Woodpecker,-5.171153961,0.649647335
1,Scaly-bellied Woodpecker,-3.73692915,0.646426062
1,Gray-headed Woodpecker,-3.624468384,0.667889408
1,Greater Yellownape,-3.99255915,0.665410637
1,White-bellied Woodpecker,-5.841674133,0.677297457
1,Eurasian Kestrel,-3.87707555,0.617819367
1,Red-necked Falcon,-4.956854491,0.656239153
1,Amur Falcon,-4.716319545,0.66772751
1,Eurasian Hobby,-5.045247595,0.644440853
1,Laggar Falcon,-4.5338928,0.681032346
1,Peregrine Falcon,-4.690783961,0.659152556
1,Alexandrine Parakeet,-2.990198018,0.639599957
1,Rose-ringed Parakeet,-1.313474557,0.616777438
1,Slaty-headed Parakeet,-3.154933974,0.676051019
1,Plum-headed Parakeet,-2.814303894,0.641702707
1,Malabar Parakeet,-5.250588551,0.692544733
1,Red-breasted Parakeet,-3.624236933,0.681575495
1,Vernal Hanging-Parrot,-3.939183435,0.666768527
1,Long-tailed Broadbill,-4.57857327,0.637984456
1,Indian Pitta,-3.304309194,0.628983885
1,White-bellied Minivet,-4.682424462,0.663496011
1,Small Minivet,-3.306924181,0.647899644
1,Short-billed Minivet,-4.308524918,0.687778855
1,Long-tailed Minivet,-3.741163163,0.65051361
1,Orange Minivet,-4.473728712,0.662406145
1,Scarlet Minivet,-3.31567083,0.640396378
