sl,COMMON.NAME,freq,se
2,Fulvous Whistling-Duck,-5.057545889,0.665547509
2,Lesser Whistling-Duck,-2.698352154,0.62917704
2,Bar-headed Goose,-4.418200121,0.654904336
2,Graylag Goose,-4.780407297,0.677497374
2,Knob-billed Duck,-3.82555959,0.650358808
2,Ruddy Shelduck,-3.677614414,0.610687398
2,Cotton Pygmy-Goose,-4.179086302,0.65740991
2,Garganey,-4.788845101,0.648193469
2,Northern Shoveler,-4.569925275,0.640519578
2,Gadwall,-4.320166775,0.66391357
2,Eurasian Wigeon,-5.036617987,0.654215598
2,Indian Spot-billed Duck,-2.79300343,0.616575627
2,Mallard,-4.870628372,0.639147656
2,Northern Pintail,-4.678344648,0.631072245
2,Green-winged Teal,-4.867801889,0.684667121
2,Red-crested Pochard,-4.517802801,0.664018692
2,Common Pochard,-4.467124594,0.676254732
2,Ferruginous Duck,-5.4845155,0.895926475
2,Tufted Duck,-4.905733635,0.680716711
2,Common Merganser,-5.254684903,0.64423508
2,Hill Partridge,-4.370236672,0.632223336
2,Himalayan Monal,-4.231828224,0.67781709
2,Kalij Pheasant,-3.960739271,0.637119632
2,Indian Peafowl,-1.893641948,0.669305016
2,Red Spurfowl,-4.679226968,0.675951645
2,Painted Spurfowl,-4.530419459,0.646536445
2,Red Junglefowl,-3.569836592,0.666663583
2,Gray Junglefowl,-4.216620909,0.657626223
2,Gray Francolin,-1.993581465,0.646446785
2,Swamp Francolin,-4.385971182,0.694476812
2,Black Francolin,-3.344896291,0.665890874
2,Painted Francolin,-3.536297581,0.648160968
2,Rain Quail,-4.79714354,0.663235363
2,Chukar,-2.847327285,0.735262496
2,Jungle Bush-Quail,-4.38242358,0.632976903
2,Rock Bush-Quail,-4.121828409,0.62932572
2,Greater Flamingo,-4.346559376,0.683316563
2,Lesser Flamingo,-4.222659053,0.664957216
2,Little Grebe,-2.811923271,0.632883172
2,Great Crested Grebe,-4.361574719,0.649007463
2,Rock Pigeon,-1.233116278,0.633891083
2,Hill Pigeon,-2.404895604,0.726315744
2,Snow Pigeon,-3.781893336,0.682012918
2,Speckled Wood-Pigeon,-4.922588599,0.634363498
2,Nilgiri Wood-Pigeon,-6.354960453,0.634405121
2,Oriental Turtle-Dove,-3.467222909,0.614649801
2,Eurasian Collared-Dove,-1.784884454,0.653092022
2,Red Collared-Dove,-3.411903769,0.656832491
2,Spotted Dove,-1.390991573,0.642201444
2,Laughing Dove,-1.595564553,0.662333966
2,Barred Cuckoo-Dove,-4.027172761,0.641014414
2,Asian Emerald Dove,-3.944136998,0.64142126
2,Orange-breasted Green-Pigeon,-5.444725394,0.655103501
2,Gray-fronted Green-Pigeon,-4.994403559,0.662485467
2,Thick-billed Green-Pigeon,-3.925762542,0.669431763
2,Yellow-footed Green-Pigeon,-2.9360786,0.651630757
2,Pin-tailed Green-Pigeon,-4.054668611,0.660314676
2,Wedge-tailed Green-Pigeon,-4.199700744,0.630374068
2,Green Imperial-Pigeon,-4.490128639,0.635119728
2,Malabar Imperial-Pigeon,-5.820451453,0.635196141
2,Mountain Imperial-Pigeon,-3.708462227,0.667108679
2,Chestnut-bellied Sandgrouse,-3.894573923,0.642375616
2,Painted Sandgrouse,-4.340411369,0.663982369
2,Greater Coucal,-1.42979293,0.642809566
2,Lesser Coucal,-4.757297197,0.632310435
2,Sirkeer Malkoha,-4.768238359,0.632048569
2,Blue-faced Malkoha,-3.896823578,0.661416175
2,Green-billed Malkoha,-3.662822118,0.645622982
2,Chestnut-winged Cuckoo,-5.488331492,0.667840633
2,Pied Cuckoo,-3.250136669,0.680308825
2,Asian Koel,-1.544769417,0.689740235
2,Banded Bay Cuckoo,-4.922912044,0.649452467
2,Plaintive Cuckoo,-3.774351932,0.62597866
2,Gray-bellied Cuckoo,-4.068454429,0.633531231
2,Fork-tailed Drongo-Cuckoo,-4.986871827,0.65837781
2,Square-tailed Drongo-Cuckoo,-3.810305115,0.653932395
2,Large Hawk-Cuckoo,-4.991592862,0.687063086
2,Common Hawk-Cuckoo,-2.63952923,0.637303035
2,Lesser Cuckoo,-4.210306097,0.677028409
2,Indian Cuckoo,-4.184412707,0.652056246
2,Himalayan Cuckoo,-4.8373877,0.66306506
2,Common Cuckoo,-4.077989063,0.651959403
2,White-rumped Needletail,-6.219033842,0.635066401
2,Brown-backed Needletail,-5.10534418,0.654281635
2,Indian Swiftlet,-4.986412547,0.6593821
2,Himalayan Swiftlet,-3.97986007,0.654738672
2,Alpine Swift,-4.752420701,0.692215352
2,Little Swift,-2.595001506,0.655544056
2,Crested Treeswift,-4.398348383,0.678118755
2,Slaty-breasted Rail,-5.710601898,0.66010557
2,Eurasian Moorhen,-3.145392538,0.616424877
2,Eurasian Coot,-3.200966557,0.661435589
2,Gray-headed Swamphen,-3.367890033,0.65738167
2,Watercock,-5.138005234,0.632777757
2,White-breasted Waterhen,-2.289626899,0.634902608
2,Ruddy-breasted Crake,-5.557973772,0.628033339
2,Brown Crake,-4.75917909,0.635710037
2,Baillon's Crake,-6.485531972,0.664174479
2,Demoiselle Crane,-3.557622812,0.677679466
2,Sarus Crane,-3.488479286,0.681276617
2,Common Crane,-3.744320118,0.668273343
2,Indian Thick-knee,-3.947540188,0.662310177
2,Great Thick-knee,-4.76920192,0.653803391
2,Black-winged Stilt,-2.772255434,0.630205142
2,Pied Avocet,-4.976167885,0.676058513
2,Eurasian Oystercatcher,-6.456670356,0.723820485
2,Black-bellied Plover,-5.200550592,0.68589355
2,Pacific Golden-Plover,-4.954190775,0.652410184
2,Northern Lapwing,-5.29571768,0.656270709
2,River Lapwing,-3.602637809,0.655353086
2,Yellow-wattled Lapwing,-3.325825567,0.667082358
2,Gray-headed Lapwing,-4.818148444,0.682647784
2,Red-wattled Lapwing,-1.242950411,0.645720662
2,White-tailed Lapwing,-53.07515219,1343.797984
2,Lesser Sand-Plover,-4.401208371,0.675273079
2,Kentish Plover,-4.53915176,0.65013837
2,Little Ringed Plover,-3.706840616,0.622198569
2,Greater Painted-Snipe,-4.652841272,0.650091807
2,Pheasant-tailed Jacana,-3.999637809,0.655206284
2,Bronze-winged Jacana,-3.330590631,0.643267227
2,Whimbrel,-4.276922298,0.693641495
2,Eurasian Curlew,-4.892090772,0.672050761
2,Bar-tailed Godwit,-5.46778976,0.706705443
2,Black-tailed Godwit,-4.592479944,0.671309024
2,Ruddy Turnstone,-4.924310834,0.704152155
2,Great Knot,-22.5631322,236.5843446
2,Ruff,-4.430245679,0.600946846
2,Broad-billed Sandpiper,-5.987220282,0.772262834
2,Curlew Sandpiper,-5.439318462,0.682743216
2,Temminck's Stint,-4.449203727,0.611274802
2,Sanderling,-5.933346659,0.666423998
2,Dunlin,-5.38323265,0.674391478
2,Little Stint,-4.356260876,0.65417545
2,Common Snipe,-5.311787357,0.695210638
2,Pin-tailed Snipe,-6.356407977,0.733508419
2,Terek Sandpiper,-5.46260562,0.700477294
2,Common Sandpiper,-2.980702175,0.626792185
2,Green Sandpiper,-3.662411003,0.638257858
2,Spotted Redshank,-4.92079996,0.622785731
2,Common Greenshank,-4.280505677,0.622041929
2,Marsh Sandpiper,-4.809302999,0.618500597
2,Wood Sandpiper,-3.715672168,0.656865607
2,Common Redshank,-4.165699872,0.671745846
2,Barred Buttonquail,-4.263467329,0.671540457
2,Indian Courser,-4.667133739,0.596275915
2,Oriental Pratincole,-5.100417622,0.714668282
2,Small Pratincole,-4.598681832,0.639017644
2,Slender-billed Gull,-6.009841688,0.703264885
2,Black-headed Gull,-5.39602921,0.653637332
